20 1.e50 0.0
0.3000000000 859.8804089700
0.4000000000 563.8615607500
0.5000000000 387.3577946800
0.6000000000 272.1176935900
0.7000000000 193.0605588600
0.8000000000 137.5769363200
0.9000000000 96.0487479000
1.0000000000 64.0028768600
1.1000000000 39.0318501500
1.2000000000 20.9460800300
1.3000000000 8.5214703666
1.4000000000 0.9748577012
1.5000000000 -2.5166352438
1.6000000000 -3.2487315300
1.7000000000 -2.4964595561
1.8000000000 -1.2948334936
1.9000000000 -0.3443012230
2.0000000000 -0.0000000000
2.1000000000 -0.0000000000
2.2000000000 -0.0000000000
